Name,Sex,Country,NOC,Games,Year,Host_City,Sport,Event,Gold,Silver,Bronze,Type_Sport
Ghasem Gholamreza Rezaei,M,Iran,IRI,2012 Summer,2012,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",1,0,0,Individual
Chen Xiaojun,F,China,CHN,2012 Summer,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,Team
Rim Jong-Sim,F,North Korea,PRK,2012 Summer,2012,London,Weightlifting,Weightlifting Women's Light-Heavyweight,1,0,0,Individual
Chen Ruolin,F,China,CHN,2012 Summer,2012,London,Diving,Diving Women's Synchronized Platform,1,0,0,Team
Chanatip Sonkham,F,Thailand,THA,2012 Summer,2012,London,Taekwondo,Taekwondo Women's Flyweight,0,0,1,Individual
Pandelela Rinong anak Pamg,F,Malaysia,MAS,2012 Summer,2012,London,Diving,Diving Women's Platform,0,0,1,Individual
Kianoush Rostami,M,Iran,IRI,2012 Summer,2012,London,Weightlifting,Weightlifting Men's Light-Heavyweight,0,0,1,Individual
Ryang Chun-Hwa,F,North Korea,PRK,2012 Summer,2012,London,Weightlifting,Weightlifting Women's Flyweight,0,0,1,Individual
Olga Sergeyevna Rypakova (Alekseyeva-),F,Kazakhstan,KAZ,2012 Summer,2012,London,Athletics,Athletics Women's Triple Jump,1,0,0,Individual
Hitomi Nakamichi,F,Japan,JPN,2012 Summer,2012,London,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Saori Sakoda,F,Japan,JPN,2012 Summer,2012,London,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Behdad Salimi Kordasiabi,M,Iran,IRI,2012 Summer,2012,London,Weightlifting,Weightlifting Men's Super-Heavyweight,1,0,0,Individual
Aya Sameshima,F,Japan,JPN,2012 Summer,2012,London,Football,Football Women's Football,0,1,0,Team
Chen Ruolin,F,China,CHN,2012 Summer,2012,London,Diving,Diving Women's Platform,1,0,0,Individual
Chen Ying,F,China,CHN,2012 Summer,2012,London,Shooting,"Shooting Women's Sporting Pistol, 25 metres",0,1,0,Individual
Soronzonboldyn Battsetseg,F,Mongolia,MGL,2012 Summer,2012,London,Wrestling,"Wrestling Women's Middleweight, Freestyle",0,0,1,Individual
Hamid Mohammad Sourian Reihanpour,M,Iran,IRI,2012 Summer,2012,London,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1,0,0,Individual
Megumi Takase,F,Japan,JPN,2012 Summer,2012,London,Football,Football Women's Football,0,1,0,Team
Yoshie Takeshita (-Egusa),F,Japan,JPN,2012 Summer,2012,London,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Prince Abdullah Bin Moteb Al-Saud,M,Saudi Arabia,KSA,2012 Summer,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",0,0,1,Team
Ramzy Al-Duhami,M,Saudi Arabia,KSA,2012 Summer,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",0,0,1,Team
Fehaid Al-Deehani,M,Kuwait,KUW,2012 Summer,2012,London,Shooting,Shooting Men's Trap,0,0,1,Individual
Asuna Tanaka,F,Japan,JPN,2012 Summer,2012,London,Football,Football Women's Football,0,1,0,Team
Kazuhito Tanaka,M,Japan,JPN,2012 Summer,2012,London,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Yusuke Tanaka,M,Japan,JPN,2012 Summer,2012,London,Gymnastics,Gymnastics Men's Team All-Around,0,1,0,Team
Nasser Salih Nasser Abdullah Al-Attiya,M,Qatar,QAT,2012 Summer,2012,London,Shooting,Shooting Men's Skeet,0,0,1,Individual
Akzhurek Dostykovich Tanatarov,M,Kazakhstan,KAZ,2012 Summer,2012,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",0,0,1,Individual
Tang Yi,F,China,CHN,2012 Summer,2012,London,Swimming,Swimming Women's 100 metres Freestyle,0,0,1,Individual
Ryo Tateishi,M,Japan,JPN,2012 Summer,2012,London,Swimming,Swimming Men's 200 metres Breaststroke,0,0,1,Individual
Artur Borisovich Taymazov,M,Uzbekistan,UZB,2012 Summer,2012,London,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",1,0,0,Individual
Aya Terakawa,F,Japan,JPN,2012 Summer,2012,London,Swimming,Swimming Women's 100 metres Backstroke,0,0,1,Individual
Aya Terakawa,F,Japan,JPN,2012 Summer,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,0,1,Team
An Kum-Ae,F,North Korea,PRK,2012 Summer,2012,London,Judo,Judo Women's Half-Lightweight,1,0,0,Individual
Kozue Ando,F,Japan,JPN,2012 Summer,2012,London,Football,Football Women's Football,0,1,0,Team
Satomi Suzuki,F,Japan,JPN,2012 Summer,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,0,1,Team
Satomi Suzuki,F,Japan,JPN,2012 Summer,2012,London,Swimming,Swimming Women's 200 metres Breaststroke,0,1,0,Individual
Mohammad Bagheri Motamed,M,Iran,IRI,2012 Summer,2012,London,Taekwondo,Taekwondo Men's Featherweight,0,1,0,Individual
Mika Sugimoto,F,Japan,JPN,2012 Summer,2012,London,Judo,Judo Women's Heavyweight,0,1,0,Individual
Sui Lu,F,China,CHN,2012 Summer,2012,London,Gymnastics,Gymnastics Women's Balance Beam,0,1,0,Individual
Sun Wenyan,F,China,CHN,2012 Summer,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,Team
Baek Seong-Dong,M,South Korea,KOR,2012 Summer,2012,London,Football,Football Men's Football,0,0,1,Team
Sun Yang,M,China,CHN,2012 Summer,2012,London,Swimming,Swimming Men's 200 metres Freestyle,0,1,0,Individual
Sun Yang,M,China,CHN,2012 Summer,2012,London,Swimming,Swimming Men's 400 metres Freestyle,1,0,0,Individual
Kamal Bahamdan,M,Saudi Arabia,KSA,2012 Summer,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",0,0,1,Team
Sun Yang,M,China,CHN,2012 Summer,2012,London,Swimming,"Swimming Men's 1,500 metres Freestyle",1,0,0,Individual
Suguru Awaji,M,Japan,JPN,2012 Summer,2012,London,Fencing,"Fencing Men's Foil, Team",0,1,0,Team
Abbos Atayev,M,Uzbekistan,UZB,2012 Summer,2012,London,Boxing,Boxing Men's Middleweight,0,0,1,Individual
Erika Araki,F,Japan,JPN,2012 Summer,2012,London,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Sun Yujie,F,China,CHN,2012 Summer,2012,London,Fencing,"Fencing Women's epee, Individual",0,0,1,Individual
Sun Yujie,F,China,CHN,2012 Summer,2012,London,Fencing,"Fencing Women's epee, Team",1,0,0,Team
Sajjad Anoushiravani Hamlabad,M,Iran,IRI,2012 Summer,2012,London,Weightlifting,Weightlifting Men's Super-Heavyweight,0,1,0,Individual
Satomi Suzuki,F,Japan,JPN,2012 Summer,2012,London,Swimming,Swimming Women's 100 metres Breaststroke,0,0,1,Individual
Sun Yang,M,China,CHN,2012 Summer,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
Qiu Bo,M,China,CHN,2012 Summer,2012,London,Diving,Diving Men's Platform,0,1,0,Individual
Mizuho Sakaguchi,F,Japan,JPN,2012 Summer,2012,London,Football,Football Women's Football,0,1,0,Team
Hou Yuzhuo,F,China,CHN,2012 Summer,2012,London,Taekwondo,Taekwondo Women's Featherweight,0,1,0,Individual
Ai Otomo-Yamamoto,F,Japan,JPN,2012 Summer,2012,London,Volleyball,Volleyball Women's Volleyball,0,0,1,Team
Yuki Ota,M,Japan,JPN,2012 Summer,2012,London,Fencing,"Fencing Men's Foil, Team",0,1,0,Team
Kenta Chida,M,Japan,JPN,2012 Summer,2012,London,Fencing,"Fencing Men's Foil, Team",0,1,0,Team
Choi Yeong-Rae,M,South Korea,KOR,2012 Summer,2012,London,Shooting,"Shooting Men's Free Pistol, 50 metres",0,1,0,Individual
Choi Byeong-Cheol,M,South Korea,KOR,2012 Summer,2012,London,Fencing,"Fencing Men's Foil, Individual",0,0,1,Individual
Om Yun-Chol,M,North Korea,PRK,2012 Summer,2012,London,Weightlifting,Weightlifting Men's Bantamweight,1,0,0,Individual
Choi Eun-Sook,F,South Korea,KOR,2012 Summer,2012,London,Fencing,"Fencing Women's epee, Team",0,1,0,Team
Saina Nehwal,F,India,IND,2012 Summer,2012,London,Badminton,Badminton Women's Singles,0,0,1,Individual
Dai Xiaoxiang,M,China,CHN,2012 Summer,2012,London,Archery,Archery Men's Individual,0,0,1,Individual
Shinobu Ohno,F,Japan,JPN,2012 Summer,2012,London,Football,Football Women's Football,0,1,0,Team
Oh Jin-Hyek,M,South Korea,KOR,2012 Summer,2012,London,Archery,Archery Men's Team,0,0,1,Team
Oh Jin-Hyek,M,South Korea,KOR,2012 Summer,2012,London,Archery,Archery Men's Individual,1,0,0,Individual
Rohullah Nikpai,M,Afghanistan,AFG,2012 Summer,2012,London,Taekwondo,Taekwondo Men's Featherweight,0,0,1,Individual
Choi Hyeon-Ju,F,South Korea,KOR,2012 Summer,2012,London,Archery,Archery Women's Team,1,0,0,Team
Oh Ha-Na,F,South Korea,KOR,2012 Summer,2012,London,Fencing,"Fencing Women's Foil, Team",0,0,1,Team
Dai Jun,M,China,CHN,2012 Summer,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
Masashi Nishiyama,M,Japan,JPN,2012 Summer,2012,London,Judo,Judo Men's Middleweight,0,0,1,Individual
Mavzuna Chorieva,F,Tajikistan,TJK,2012 Summer,2012,London,Boxing,Boxing Women's Lightweight,0,0,1,Individual
Hitomi Obara (Sakamoto-),F,Japan,JPN,2012 Summer,2012,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",1,0,0,Individual
Adilbek Sabitovich Niyazymbetov,M,Kazakhstan,KAZ,2012 Summer,2012,London,Boxing,Boxing Men's Light-Heavyweight,0,1,0,Individual
O Sang-Eun,M,South Korea,KOR,2012 Summer,2012,London,Table Tennis,Table Tennis Men's Team,0,1,0,Team
O Jae-Seok,M,South Korea,KOR,2012 Summer,2012,London,Football,Football Men's Football,0,0,1,Team
Choi In-Jeong,F,South Korea,KOR,2012 Summer,2012,London,Fencing,"Fencing Women's epee, Team",0,1,0,Team
O Eun-Seok,M,South Korea,KOR,2012 Summer,2012,London,Fencing,"Fencing Men's Sabre, Team",1,0,0,Team
Nyambayaryn Tgstsogt,M,Mongolia,MGL,2012 Summer,2012,London,Boxing,Boxing Men's Flyweight,0,1,0,Individual
Deng Linlin,F,China,CHN,2012 Summer,2012,London,Gymnastics,Gymnastics Women's Balance Beam,1,0,0,Individual
Navab Nassirshalal,M,Iran,IRI,2012 Summer,2012,London,Weightlifting,Weightlifting Men's Heavyweight,0,1,0,Individual
Zulfiya Salakharovna Chinshanlo,F,Kazakhstan,KAZ,2012 Summer,2012,London,Weightlifting,Weightlifting Women's Featherweight,1,0,0,Individual
Omid Haji Norouzi,M,Iran,IRI,2012 Summer,2012,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1,0,0,Individual
Cheng Ming,F,China,CHN,2012 Summer,2012,London,Archery,Archery Women's Team,0,1,0,Team
Nam Hyeon-Hui,F,South Korea,KOR,2012 Summer,2012,London,Fencing,"Fencing Women's Foil, Team",0,0,1,Team
Park Jong-Wu,M,South Korea,KOR,2012 Summer,2012,London,Football,Football Men's Football,0,0,1,Team
Riki Nakaya,M,Japan,JPN,2012 Summer,2012,London,Judo,Judo Men's Lightweight,0,1,0,Individual
Park Tae-Hwan,M,South Korea,KOR,2012 Summer,2012,London,Swimming,Swimming Men's 200 metres Freestyle,0,1,0,Individual
Park Tae-Hwan,M,South Korea,KOR,2012 Summer,2012,London,Swimming,Swimming Men's 400 metres Freestyle,0,1,0,Individual
Nam Tae-Hui,M,South Korea,KOR,2012 Summer,2012,London,Football,Football Men's Football,0,0,1,Team
Kaeo Pongprayoon,M,Thailand,THA,2012 Summer,2012,London,Boxing,Boxing Men's Light-Flyweight,0,1,0,Individual
Qieyang Shenjie,F,China,CHN,2012 Summer,2012,London,Athletics,Athletics Women's 20 kilometres Walk,0,0,1,Individual
Svetlana Nikolayevna Podobedova,F,Kazakhstan,KAZ,2012 Summer,2012,London,Weightlifting,Weightlifting Women's Heavyweight,1,0,0,Individual
Park Ju-Yeong,M,South Korea,KOR,2012 Summer,2012,London,Football,Football Men's Football,0,0,1,Team
Qin Kai,M,China,CHN,2012 Summer,2012,London,Diving,Diving Men's Springboard,0,1,0,Individual
Qin Kai,M,China,CHN,2012 Summer,2012,London,Diving,Diving Men's Synchronized Springboard,1,0,0,Team
Gagan Narang,M,India,IND,2012 Summer,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres",0,0,1,Individual
Mohd Azizulhasni Awang,M,Malaysia,MAS,2016 Summer,2016,Rio de Janeiro,Cycling,Cycling Men's Keirin,0,0,1,Individual
Maharu Yoshimura,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,0,1,0,Team
Ahmad Abughaush,M,Jordan,JOR,2016 Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,1,0,0,Individual
Duan Jingli,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,0,0,1,Individual
Kosuke Hagino,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,1,0,0,Individual
Zhu Ting,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
You Hao,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Hasanboy Dusmatov,M,Uzbekistan,UZB,2016 Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,1,0,0,Individual
Ding Ning,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,1,0,0,Individual
Natsumi Hoshi,F,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,0,0,1,Individual
Aika Hakoyama,F,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,1,Team
Ivan Fyodorovich Dychko,M,Kazakhstan,KAZ,2016 Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,0,0,1,Individual
Hidilyn Diaz,F,Philippines,PHI,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Featherweight,0,1,0,Individual
Hirooki Arai,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,0,0,1,Individual
Kosuke Hagino,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,0,1,0,Individual
Ding Xia,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Ding Ning,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,1,0,0,Team
Dong Bin,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,0,0,1,Individual
Murodzhon Kakharovich Akhmadaliyev,M,Uzbekistan,UZB,2016 Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,0,0,1,Individual
Deng Wei,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,1,0,0,Individual
Deng Shudi,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Shakhobiddin Shokirovich Zoirov,M,Uzbekistan,UZB,2016 Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Flyweight,1,0,0,Individual
He Zi,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Diving,Diving Women's Springboard,0,1,0,Individual
Dong Dong,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Trampolining,Trampolining Men's Individual,0,1,0,Individual
Kimia Alizadeh Zenoorin,F,Iran,IRI,2016 Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,0,0,1,Individual
Tontowi Ahmad,M,Indonesia-1,INA,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,1,0,0,Team
Rei Higuchi,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",0,1,0,Individual
Hisayoshi Harasawa,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Judo,Judo Men's Heavyweight,0,1,0,Individual
Dorjnyambuugiin Otgondalai,M,Mongolia,MGL,2016 Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight,0,0,1,Individual
Sri Wahyuni Agustiani,F,Indonesia,INA,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,0,1,0,Individual
An Ba-Ul,M,South Korea,KOR,2016 Summer,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,0,1,0,Individual
Dorjsurengiin Sumiya,F,Mongolia,MGL,2016 Summer,2016,Rio de Janeiro,Judo,Judo Women's Lightweight,0,1,0,Individual
Zhang Wenxiu,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,0,1,0,Individual
Sara Dosho,F,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",1,0,0,Individual
Hao Jialu,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",0,1,0,Team
Yu Song,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Judo,Judo Women's Heavyweight,0,0,1,Individual
Hong Xun Vinh,M,Vietnam,VIE,2016 Summer,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",1,0,0,Individual
Tawin Hanprab,M,Thailand,THA,2016 Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Flyweight,0,1,0,Individual
Du Li,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",0,1,0,Individual
Takuya Haneda,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, Slalom",0,0,1,Individual
Hong Xun Vinh,M,Vietnam,VIE,2016 Summer,2016,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",0,1,0,Individual
Du Li,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0,0,1,Individual
Ai Fukuhara,F,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,0,0,1,Team
Kosuke Hagino,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
Gong Jinjie,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,1,0,0,Team
Cheong Jun Hoong,F,Malaysia,MAS,2016 Summer,2016,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,0,1,0,Team
Chen Long,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Men's Singles,1,0,0,Individual
Zhang Jike,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,1,0,0,Team
Goh V Shem,M,Malaysia,MAS,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,0,1,0,Team
Goh Liu Ying,F,Malaysia,MAS,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,0,1,0,Team
Shakhram Dzhamshedovich Giyasov,M,Uzbekistan,UZB,2016 Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Welterweight,0,1,0,Individual
Chen Peina,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,0,1,0,Individual
Cheng Xunzhao,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Judo,Judo Men's Middleweight,0,0,1,Individual
Zhang Jike,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,0,1,0,Individual
Aleksandr Sergeyevich Zaychikov,M,Kazakhstan,KAZ,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,0,0,1,Individual
Zheng Shuyin,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Heavyweight,1,0,0,Individual
Komeil Nemat Ghasemi,M,Iran,IRI,2016 Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",0,1,0,Individual
Zeng Zhen,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,Team
Fu Haifeng,M,China-1,CHN,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,1,0,0,Team
Fazliddin Khasanbayevich Gaybnazarov,M,Uzbekistan,UZB,2016 Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,1,0,0,Individual
Fu Yuanhui,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,0,0,1,Individual
Gao Lei,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Trampolining,Trampolining Men's Individual,0,0,1,Individual
Otgontsetseg Galbadrakhyn,F,Kazakhstan,KAZ,2016 Summer,2016,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,0,0,1,Individual
Zhang Binbin,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0,1,0,Individual
Chen Ruolin,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,1,0,0,Team
Zhang Changning,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Zhang Chenglong,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,0,0,1,Team
Zhazira Abdrakhmanovna Zhapparkul,F,Kazakhstan,KAZ,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Light-Heavyweight,0,1,0,Individual
Zhao Yunlei,F,China-1,CHN,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,0,0,1,Team
Zhao Shuai,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Flyweight,1,0,0,Individual
Choi Mi-Sun,F,South Korea,KOR,2016 Summer,2016,Rio de Janeiro,Archery,Archery Women's Team,1,0,0,Team
Gong Xiangyu,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Choe Hyo-Sim,F,North Korea,PRK,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,0,1,0,Individual
Zhang Nan,M,China-1,CHN,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,1,0,0,Team
Zhang Nan,M,China-1,CHN,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,0,0,1,Team
Mashu Baker,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Judo,Judo Men's Middleweight,1,0,0,Individual
Ryunosuke Haga,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight,0,0,1,Individual
Dmitry Igorevich Balandin,M,Kazakhstan,KAZ,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke,1,0,0,Individual
Zhang Fengliu,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",0,0,1,Individual
Mutaz Essa Barshim,M,Qatar,QAT,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's High Jump,0,1,0,Individual
Masashi Ebinuma,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,0,0,1,Individual
Cai Zelin,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,0,1,0,Individual
Gwak Dong-Han,M,South Korea,KOR,2016 Summer,2016,Rio de Janeiro,Judo,Judo Men's Middleweight,0,0,1,Individual
Naito Ehara,M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,0,0,1,Team
"Asuka Antonio ""Aska"" Cambridge",M,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,0,1,0,Team
Cao Yuan,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Diving,Diving Men's Springboard,1,0,0,Individual
Cao Yuan,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,0,0,1,Team
Fan Yilin,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,0,0,1,Team
Zhang Mengxue,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",1,0,0,Individual
Chan Peng Soon,M,Malaysia,MAS,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,0,1,0,Team
Chang Hye-Jin,F,South Korea,KOR,2016 Summer,2016,Rio de Janeiro,Archery,Archery Women's Individual,1,0,0,Individual
Chang Hye-Jin,F,South Korea,KOR,2016 Summer,2016,Rio de Janeiro,Archery,Archery Women's Team,1,0,0,Team
Chen Aisen,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Diving,Diving Men's Platform,1,0,0,Individual
Chen Aisen,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,1,0,0,Team
Feng Shanshan,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Golf,Golf Women's Individual,0,0,1,Individual
Guo Li,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,Team
Gu Xiao,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,Team
Zhong Tianshi,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,1,0,0,Team
Karina Khavazhevna Goricheva,F,Kazakhstan,KAZ,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,0,0,1,Individual
Yuan Xinyue,F,China,CHN,2016 Summer,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,1,0,0,Team
Kim So-Hui,F,South Korea,KOR,2016 Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,1,0,0,Individual
Hu Jianguan,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Flyweight,0,0,1,Individual
Wang Shun,M,China,CHN,2016 Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,0,0,1,Individual
Oh Hye-Ri,F,South Korea,KOR,2016 Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Welterweight,1,0,0,Individual
Nozomi Okuhara,F,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Badminton,Badminton Women's Singles,0,0,1,Individual
Om Yun-Chol,M,North Korea,PRK,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,0,1,0,Individual
Kano Omata,F,Japan,JPN,2016 Summer,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,1,Team
