Name,Gender,Country,Year,Host_City,Sport,Event,Sport_Type,Gold,Silver,Bronze
Manzoor Hussain Atif,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Taniko Nakamura-Mitsukuri,F,Japan,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Team,0,0,1
Yoshinobu Miyake,M,Japan,1964,Tokyo,Weightlifting,Weightlifting Men's Featherweight,Individual,1,0,0
Zafar Hayat,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Udham Singh Kular,M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Motiullah Khan,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Teruhisa Moriyama,M,Japan,1964,Tokyo,Volleyball,Volleyball Men's Volleyball,Team,0,0,1
Isao Okano,M,Japan,1964,Tokyo,Judo,Judo Men's Middleweight,Individual,1,0,0
Takuji Hayata,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Rings,Individual,1,0,0
Masashi Ohuchi,M,Japan,1964,Tokyo,Weightlifting,Weightlifting Men's Middleweight,Individual,0,0,1
Yukiaki Okabe,M,Japan,1964,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Team,0,0,1
Prithipal Singh,M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Syed Mushtaq Ali,M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Takuji Hayata,M,Japan,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,Team,1,0,0
Iwao Horiuchi,M,Japan,1964,Tokyo,Wrestling,"Wrestling Men's Lightweight, Freestyle",Individual,0,0,1
Osamu Watanabe,M,Japan,1964,Tokyo,Wrestling,"Wrestling Men's Featherweight, Freestyle",Individual,1,0,0
Yoshihisa Yoshikawa,M,Japan,1964,Tokyo,Shooting,"Shooting Men's Free Pistol, 50 metres",Individual,0,0,1
Emiko Miyamoto (-Terayama),F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Saeed Anwar,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Tsutomu Hanahara,M,Japan,1964,Tokyo,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Individual,1,0,0
Katsumi Matsumura (-Tida),F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Kinuko Tanida (-Idogawa),F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
Muhammad Abdul Rashid,M,Pakistan,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,0,1,0
Shiro Ichinoseki,M,Japan,1964,Tokyo,Weightlifting,Weightlifting Men's Bantamweight,Individual,0,0,1
Masamitsu Ichiguchi,M,Japan,1964,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Individual,1,0,0
Charanjit Singh,M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Darshan Singh Kular,M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Dharam Singh,M,India,1964,Tokyo,Hockey,Hockey Men's Hockey,Team,1,0,0
Masako Kondo,F,Japan,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Team,1,0,0
